,Studio,One Bedroom,Two Bedroom,Three Bedroom,Four Bedroom,County,Population,State
4034,560,582,757,980,1105,Starr County,63420,TX
4035,560,595,757,1075,1105,Stephens County,9365,TX
4036,659,790,992,1314,1629,Sterling County,1140,TX
4037,608,652,822,1084,1200,Stonewall County,1085,TX
4038,560,640,757,998,1105,Sutton County,3895,TX
4039,560,582,757,1023,1027,Swisher County,7540,TX
4040,939,1064,1269,1685,2098,Tarrant County,1983675,TX
4041,637,674,870,1186,1476,Taylor County,135370,TX
4042,608,652,822,1084,1200,Terrell County,720,TX
4043,573,588,774,1046,1050,Terry County,12755,TX
4044,560,600,757,1070,1105,Throckmorton County,1540,TX
4045,575,608,757,1008,1124,Titus County,32665,TX
4046,659,790,992,1314,1629,Tom Green County,116905,TX
4047,1092,1236,1451,1867,2194,Travis County,1176585,TX
4048,642,660,868,1073,1329,Trinity County,14480,TX
4049,560,664,757,1004,1105,Tyler County,21455,TX
4050,687,786,924,1276,1467,Upshur County,40505,TX
4051,560,664,757,998,1105,Upton County,3575,TX
4052,567,664,757,1028,1296,Uvalde County,27015,TX
4053,616,620,816,1134,1191,Val Verde County,48975,TX
4054,621,640,840,1193,1211,Van Zandt County,53605,TX
4055,788,861,1068,1367,1563,Victoria County,91520,TX
4056,685,849,1031,1274,1765,Walker County,70820,TX
4057,944,1014,1208,1603,2058,Waller County,48445,TX
4058,705,724,953,1181,1391,Ward County,11500,TX
4059,749,801,913,1227,1477,Washington County,34665,TX
4060,756,760,942,1222,1349,Webb County,269625,TX
4061,598,676,808,1141,1383,Wharton County,41430,TX
4062,560,617,757,959,1105,Wheeler County,5600,TX
4063,641,707,878,1197,1362,Wichita County,131780,TX
4064,560,575,757,936,1105,Wilbarger County,12970,TX
4065,560,575,757,1023,1027,Willacy County,21840,TX
4066,1092,1236,1451,1867,2194,Williamson County,508315,TX
4067,815,961,1165,1500,1849,Wilson County,47205,TX
4068,566,606,765,1087,1117,Winkler County,7775,TX
4069,857,872,994,1335,1399,Wise County,63245,TX
4070,652,657,864,1068,1262,Wood County,43315,TX
4071,630,747,851,1052,1243,Yoakum County,8480,TX
4072,563,634,761,1003,1111,Young County,18165,TX
4073,560,629,757,1002,1105,Zapata County,14415,TX
4074,560,664,757,955,1105,Zavala County,12150,TX
4075,517,595,757,1007,1204,Beaver County,6415,UT
4076,629,692,911,1216,1455,Box Elder County,52180,UT
4077,583,699,877,1246,1501,Cache County,120290,UT
4078,514,611,757,982,1296,Carbon County,20510,UT
4079,541,622,792,1043,1317,Daggett County,700,UT
4080,811,891,1105,1535,1864,Davis County,334975,UT
4081,566,655,829,1093,1334,Duchesne County,20260,UT
4082,517,664,757,998,1027,Emery County,10410,UT
4083,517,664,757,936,1205,Garfield County,5020,UT
4084,568,632,832,1182,1383,Grand County,9545,UT
4085,511,628,769,1053,1316,Iron County,48505,UT
4086,880,914,1041,1479,1782,Juab County,10695,UT
4087,662,761,969,1223,1314,Kane County,7245,UT
4088,517,595,757,1027,1286,Millard County,12650,UT
4089,811,891,1105,1535,1864,Morgan County,11015,UT
4090,517,595,757,1075,1258,Piute County,1860,UT
4091,541,622,792,1043,1317,Rich County,2305,UT
4092,924,1112,1327,1843,2066,Salt Lake County,1106700,UT
4093,653,664,757,946,1044,San Juan County,15195,UT
4094,545,606,798,986,1179,Sanpete County,28890,UT
4095,517,575,757,1007,1184,Sevier County,20960,UT
4096,1027,1070,1408,1740,2210,Summit County,39730,UT
4097,744,796,1034,1423,1770,Tooele County,63355,UT
4098,611,698,858,1209,1469,Uintah County,36345,UT
4099,880,914,1041,1479,1782,Utah County,576495,UT
4100,812,904,1190,1639,1956,Wasatch County,29305,UT
4101,837,898,1089,1547,1864,Washington County,155575,UT
4102,517,595,757,936,1258,Wayne County,2700,UT
4103,811,891,1105,1535,1864,Weber County,244100,UT
4104,779,878,1117,1429,1515,Addison County,1500,VT
4105,779,878,1117,1429,1515,Addison County,1225,VT
4106,779,878,1117,1429,1515,Addison County,3900,VT
4107,779,878,1117,1429,1515,Addison County,1045,VT
4108,779,878,1117,1429,1515,Addison County,2750,VT
