,Year,Studio,One Bedroom,Two Bedroom,Three Bedroom,Four Bedroom,County,Population,acs_2019_2,State,fmr_type,fmr_pct_chg,fmr_dollar_chg
232,2020,591,650,856,1218,1344,Siskiyou County,43530,840,CA,40,0.0190476,16
233,2020,1124,1318,1589,2292,2790,Solano County,434980,1443,CA,40,0.101178101,146
234,2020,1302,1489,1949,2798,3302,Sonoma County,500945,1887,CA,40,0.0328564,62
235,2020,788,885,1105,1567,1846,Stanislaus County,535685,1016,CA,40,0.087598425,89
236,2020,838,844,1087,1568,1908,Sutter County,95585,878,CA,40,0.238041002,209
237,2020,649,689,908,1216,1304,Tehama County,63245,837,CA,40,0.084826762,71
238,2020,576,684,852,1229,1359,Trinity County,13035,845,CA,40,0.008284,7
239,2020,710,714,941,1312,1534,Tulare County,458810,925,CA,40,0.0172973,16
240,2020,694,827,1015,1453,1774,Tuolumne County,53900,992,CA,40,0.0231855,23
241,2020,1266,1503,1943,2709,3243,Ventura County,847835,1795,CA,40,0.082451253,148
242,2020,1010,1066,1404,2025,2432,Yolo County,212605,1342,CA,40,0.0461997,62
243,2020,838,844,1087,1568,1908,Yuba County,74645,878,CA,40,0.238041002,209
244,2020,1114,1260,1566,2163,2488,Adams County,487850,1508,CO,40,0.0384615,58
245,2020,606,609,749,984,1162,Alamosa County,16345,791,CO,40,-0.053097,-42
246,2020,1114,1260,1566,2163,2488,Arapahoe County,626610,1508,CO,40,0.0384615,58
247,2020,693,698,919,1171,1605,Archuleta County,12590,954,CO,40,-0.036688,-35
248,2020,606,609,714,1030,1254,Baca County,3580,700,CO,40,0.02,14
249,2020,594,597,714,890,967,Bent County,5805,752,CO,40,-0.050532,-38
250,2020,1273,1412,1717,2381,2686,Boulder County,316780,1516,CO,40,0.132585752,201
251,2020,1114,1260,1566,2163,2488,Broomfield County,64285,1508,CO,40,0.0384615,58
252,2020,536,722,822,1149,1275,Chaffee County,18820,870,CO,40,-0.055172,-48
253,2020,539,542,714,914,1107,Cheyenne County,2125,700,CO,40,0.02,14
254,2020,1114,1260,1566,2163,2488,Clear Creek County,9255,1508,CO,40,0.0384615,58
255,2020,572,576,714,920,967,Conejos County,8145,700,CO,40,0.02,14
256,2020,572,576,714,890,1107,Costilla County,3630,715,CO,40,-0.0013986,-1
257,2020,587,596,732,975,992,Crowley County,5515,758,CO,40,-0.034301,-26
258,2020,562,566,745,970,1308,Custer County,4505,744,CO,40,0.00134409,1
259,2020,664,668,880,1118,1192,Delta County,30215,933,CO,40,-0.056806,-53
260,2020,1114,1260,1566,2163,2488,Denver County,678465,1508,CO,40,0.0384615,58
261,2020,609,627,714,1030,1107,Dolores County,1735,700,CO,40,0.02,14
262,2020,1114,1260,1566,2163,2488,Douglas County,320940,1508,CO,40,0.0384615,58
263,2020,934,1120,1434,1787,1943,Eagle County,53725,1432,CO,40,0.00139665,2
264,2020,1114,1260,1566,2163,2488,Elbert County,24555,1508,CO,40,0.0384615,58
265,2020,743,897,1141,1646,2003,El Paso County,674825,1064,CO,40,0.072368421,77
266,2020,593,597,786,1121,1202,Fremont County,46600,811,CO,40,-0.030826,-25
267,2020,866,872,1140,1551,1982,Garfield County,57945,1161,CO,40,-0.018088,-21
268,2020,1114,1260,1566,2163,2488,Gilpin County,5795,1508,CO,40,0.0384615,58
269,2020,660,769,1013,1356,1730,Grand County,14795,1060,CO,40,-0.04434,-47
270,2020,718,722,874,1243,1534,Gunnison County,16215,913,CO,40,-0.042716,-39
271,2020,552,676,769,1049,1193,Hinsdale County,820,841,CO,40,-0.085612366,-72
272,2020,589,593,733,913,1137,Huerfano County,6500,762,CO,40,-0.038058,-29
273,2020,685,689,855,1166,1326,Jackson County,1370,876,CO,40,-0.023973,-21
274,2020,1114,1260,1566,2163,2488,Jefferson County,564030,1508,CO,40,0.0384615,58
275,2020,685,689,855,1166,1326,Kiowa County,1370,898,CO,40,-0.047884,-43
276,2020,549,553,728,997,1278,Kit Carson County,7845,742,CO,40,-0.018868,-14
277,2020,670,682,787,1119,1206,Lake County,7480,874,CO,40,-0.099542334,-87
278,2020,824,864,983,1418,1522,La Plata County,54470,1034,CO,40,-0.049323,-51
279,2020,906,1014,1244,1795,2184,Larimer County,330975,1253,CO,40,-0.0071828,-9
280,2020,587,591,778,1122,1159,Las Animas County,14150,845,CO,40,-0.079289941,-67
281,2020,572,576,758,981,1331,Lincoln County,5520,787,CO,40,-0.036849,-29
282,2020,628,632,748,1079,1225,Logan County,21885,791,CO,40,-0.054362,-43
283,2020,713,786,1035,1493,1817,Mesa County,148800,842,CO,40,0.229216152,193
284,2020,685,689,855,1166,1326,Mineral County,835,898,CO,40,-0.047884,-43
285,2020,621,638,762,1019,1277,Moffat County,13055,810,CO,40,-0.059259,-48
286,2020,594,598,787,1039,1311,Montezuma County,25770,785,CO,40,0.00254777,2
287,2020,616,620,817,1151,1155,Montrose County,40910,881,CO,40,-0.072644722,-64
288,2020,515,601,791,997,1187,Morgan County,28125,800,CO,40,-0.01125,-9
289,2020,570,574,756,942,1173,Otero County,18325,795,CO,40,-0.049057,-39
290,2020,755,880,1159,1444,1798,Ouray County,4655,1194,CO,40,-0.029313,-35
291,2020,1114,1260,1566,2163,2488,Park County,16900,1508,CO,40,0.0384615,58
292,2020,539,542,714,963,1076,Phillips County,4325,738,CO,40,-0.03252,-24
293,2020,1029,1199,1579,2131,2139,Pitkin County,17745,1725,CO,40,-0.084637681,-146
294,2020,609,627,714,926,1137,Prowers County,12085,700,CO,40,0.02,14
295,2020,632,636,838,1140,1321,Pueblo County,163370,875,CO,40,-0.042286,-37
296,2020,608,612,806,1071,1103,Rio Blanco County,6555,847,CO,40,-0.048406,-41
297,2020,572,576,714,975,995,Rio Grande County,11430,700,CO,40,0.02,14
298,2020,926,932,1228,1691,2061,Routt County,24360,1288,CO,40,-0.046584,-60
299,2020,539,542,714,964,967,Saguache County,6340,700,CO,40,0.02,14
300,2020,774,778,1004,1258,1538,San Juan County,570,1115,CO,40,-0.09955157,-111
301,2020,884,1030,1357,1877,2105,San Miguel County,7805,1461,CO,40,-0.07118412,-104
302,2020,539,542,714,890,1162,Sedgwick County,2355,700,CO,40,0.02,14
303,2020,1086,1098,1414,1762,2193,Summit County,29720,1464,CO,40,-0.034153,-50
304,2020,727,847,1116,1610,1858,Teller County,23770,1068,CO,40,0.0449438,48
305,2020,609,627,714,890,1107,Washington County,4810,716,CO,40,-0.0027933,-2
306,2020,709,845,1046,1509,1833,Weld County,285730,992,CO,40,0.0544355,54
307,2020,539,542,714,1021,1046,Yuma County,10110,704,CO,40,0.0142045,10
308,2020,1140,1360,1749,2187,2680,Fairfield County,19525,1583,CT,40,0.104864182,166
309,2020,878,1077,1346,1706,2114,Fairfield County,147585,1293,CT,40,0.0409899,53
310,2020,1140,1360,1749,2187,2680,Fairfield County,17065,1583,CT,40,0.104864182,166
311,2020,1140,1360,1749,2187,2680,Fairfield County,84575,1583,CT,40,0.104864182,166
312,2020,1356,1701,2079,2616,2926,Fairfield County,21740,1885,CT,40,0.102917772,194
313,2020,878,1077,1346,1706,2114,Fairfield County,7605,1293,CT,40,0.0409899,53
314,2020,878,1077,1346,1706,2114,Fairfield County,61610,1293,CT,40,0.0409899,53
315,2020,1356,1701,2079,2616,2926,Fairfield County,62780,1885,CT,40,0.102917772,194
316,2020,878,1077,1346,1706,2114,Fairfield County,19765,1293,CT,40,0.0409899,53
317,2020,1356,1701,2079,2616,2926,Fairfield County,20355,1885,CT,40,0.102917772,194
318,2020,1140,1360,1749,2187,2680,Fairfield County,14090,1583,CT,40,0.104864182,166
